Id,Area,Shape,Style,Utilities,Neighborhood,Price
1,152,1室1厅2卫,复式,不齐全,市中心,2047488.94
2,142,2室1厅1卫,公寓,部分齐全,市中心,2133443.04
3,64,1室1厅2卫,普通住宅,不齐全,远郊区,488820.22
4,156,1室1厅1卫,普通住宅,齐全,市中心,2723646.23
5,121,2室1厅1卫,别墅,不齐全,近郊区,2160596.82
6,70,2室2厅1卫,复式,齐全,市中心,1277929.92
7,152,4室2厅1卫,普通住宅,不齐全,近郊区,1921319.55
8,171,2室2厅2卫,复式,齐全,远郊区,2510837.09
9,124,3室1厅1卫,公寓,部分齐全,市中心,1548032.99
10,137,3室1厅1卫,复式,不齐全,近郊区,1119138.45
11,166,4室1厅2卫,公寓,齐全,近郊区,1891011.54
12,149,3室2厅1卫,普通住宅,齐全,近郊区,1963729.14
13,153,4室1厅2卫,普通住宅,齐全,市中心,2344032.93
14,180,1室2厅2卫,别墅,不齐全,近郊区,2874215.39
15,199,2室1厅1卫,公寓,部分齐全,市中心,2391607.18
16,102,2室2厅1卫,公寓,部分齐全,远郊区,884298.55
17,51,2室1厅2卫,复式,不齐全,远郊区,488896.94
18,137,3室2厅2卫,别墅,不齐全,市中心,3120863.48
19,87,2室2厅2卫,别墅,不齐全,市中心,2011868.14
20,179,2室2厅1卫,别墅,不齐全,远郊区,1715582.98
21,70,2室1厅1卫,公寓,不齐全,远郊区,435395.08
22,107,4室2厅2卫,普通住宅,齐全,近郊区,1315786.83
23,71,2室2厅1卫,普通住宅,齐全,远郊区,853597.94
24,138,2室1厅2卫,复式,部分齐全,近郊区,2075297.85
25,98,4室2厅1卫,复式,不齐全,远郊区,1028587.99
26,108,2室2厅1卫,公寓,齐全,远郊区,762364.07
27,64,4室2厅2卫,普通住宅,齐全,市中心,1064268.36
28,100,2室2厅1卫,别墅,齐全,远郊区,1718015.03
29,157,2室2厅2卫,普通住宅,部分齐全,远郊区,1503240.27
30,104,4室2厅1卫,复式,不齐全,远郊区,1072466.34
31,113,2室2厅1卫,普通住宅,部分齐全,市中心,1646626.92
32,180,1室1厅1卫,别墅,齐全,近郊区,3706952.33
33,100,2室2厅1卫,复式,齐全,远郊区,1011062.41
34,184,4室2厅2卫,公寓,部分齐全,远郊区,1367034.06
35,70,3室1厅1卫,普通住宅,齐全,远郊区,684898.27
36,122,3室2厅1卫,普通住宅,部分齐全,市中心,1664045.47
37,67,3室2厅1卫,公寓,齐全,近郊区,838069.91
38,181,4室1厅2卫,公寓,不齐全,市中心,2189269.92
39,138,2室1厅2卫,别墅,齐全,市中心,4091475.76
40,109,2室1厅2卫,普通住宅,不齐全,近郊区,1191965.21
41,63,2室1厅2卫,复式,部分齐全,市中心,1193404.82
42,58,4室1厅1卫,普通住宅,部分齐全,远郊区,549509.5
43,139,3室2厅1卫,别墅,不齐全,远郊区,1891307.98
44,102,1室1厅1卫,复式,不齐全,近郊区,1206320.34
45,179,1室2厅1卫,复式,不齐全,市中心,2722041.11
46,133,2室1厅2卫,复式,部分齐全,近郊区,1951658.9
47,141,2室2厅2卫,别墅,不齐全,远郊区,1660402.13
48,160,2室1厅2卫,普通住宅,不齐全,市中心,2198554.86
49,57,4室2厅2卫,复式,齐全,市中心,1114730.7
50,84,4室1厅1卫,公寓,齐全,近郊区,1106039.14
51,130,2室1厅2卫,别墅,不齐全,远郊区,1533708.88
52,99,1室1厅1卫,复式,部分齐全,近郊区,1506978.55
53,153,1室1厅1卫,别墅,部分齐全,远郊区,2180172.19
54,181,2室1厅1卫,公寓,齐全,远郊区,1406508.33
55,51,3室1厅1卫,复式,齐全,近郊区,826022.59
56,183,3室2厅1卫,普通住宅,不齐全,市中心,2381369.96
57,103,2室2厅1卫,别墅,不齐全,市中心,2088918.87
58,155,4室2厅1卫,复式,部分齐全,近郊区,2026218.06
59,53,1室1厅2卫,复式,齐全,远郊区,747664.04
60,103,3室2厅2卫,别墅,齐全,近郊区,2209300.12
61,195,4室1厅1卫,公寓,不齐全,市中心,2055043.07
62,93,1室2厅2卫,别墅,不齐全,近郊区,1764791.19
63,63,1室1厅1卫,普通住宅,不齐全,远郊区,491092.42
64,144,2室2厅1卫,公寓,不齐全,远郊区,862186.22
65,97,4室1厅2卫,普通住宅,齐全,市中心,1410968.69
66,64,4室1厅1卫,普通住宅,不齐全,近郊区,630412.43
67,89,4室1厅1卫,别墅,齐全,近郊区,1930461.35
68,131,1室1厅1卫,复式,不齐全,远郊区,1300320.95
69,160,2室2厅2卫,公寓,齐全,远郊区,1537720.42
70,102,4室1厅2卫,普通住宅,部分齐全,市中心,1594300.46
71,73,1室1厅2卫,复式,齐全,市中心,1664311.65
72,173,1室2厅2卫,复式,不齐全,市中心,2781372.35
73,90,4室2厅2卫,复式,齐全,远郊区,1041150.61
74,64,4室1厅1卫,公寓,齐全,近郊区,748702.64
75,94,3室1厅1卫,复式,齐全,远郊区,1136238.11
76,114,1室2厅1卫,别墅,部分齐全,远郊区,1197404.36
77,138,1室2厅1卫,普通住宅,部分齐全,市中心,1877520.82
78,120,1室1厅1卫,复式,部分齐全,市中心,2248809.97
79,58,1室1厅1卫,普通住宅,不齐全,市中心,679604.15
